X,Y
38.738243, 10248.456533
26.741028, 8708.554916
19.576744, 1793.819322
41.050659, 13784.166995
12.239573, 1711.880638
41.624122, 9640.262712
23.251451, 3671.787790
34.607249, 5928.633802
20.582262, 3257.666458
40.931181, 12484.616271
18.326606, -5431.318860
26.654357, 7217.261919
40.443134, 10629.014336
14.488450, 1550.471556
33.733710, 7648.763579
23.825429, 6456.981594
34.906086, 6095.844765
13.064662, -2641.211524
34.088724, 5010.718551
40.838240, 9225.688446
13.784709, -2423.220962
31.083822, 9242.097689
23.978081, 2026.906784
32.227545, 7460.121912
12.723439, 3021.502479
30.025563, -107.972528
31.557486, 2962.588232
19.092816, 520.505976
16.674172, 2649.450199
29.291396, 3763.582443
24.704839, 4141.790037
28.982218, -192.921161
36.588994, 2360.011854
35.003471, 8522.663723
39.869848, 7472.098147
37.137381, 8995.144464
35.891493, 6302.235355
40.565799, 10332.729652
23.694148, 6600.619934
12.273959, -5685.243257
38.955701, 13117.551771
30.226567, 8772.126778
18.819066, -4040.570889
22.213551, 4141.167602
40.994332, 18136.355771
34.967421, 13924.977538
21.646150, 1099.650122
20.366222, 488.988958
41.988872, 13836.662611
31.693515, 6549.743116
18.071060, 626.602759
40.049941, 8187.391132
16.078516, -498.413882
23.722075, 6143.704856
15.583015, 3616.572637
33.884820, 10524.804268
25.939846, 367.954619
16.604662, 4646.553218
29.277069, -1828.943107
16.323684, -1614.810914
17.058517, 5842.863219
37.640868, 12560.439401
14.217908, 1652.270571
32.027999, 4852.063740
30.287876, 8003.133475
23.239069, 1155.811083
14.396226, 1758.516038
37.066207, 3865.777841
17.047709, -2365.981427
36.302781, 2510.777492
19.859985, 4119.093730
36.008181, 8221.362498
23.061314, 1391.982120
13.818535, 2188.151712
41.008220, 8865.404722
32.615178, 9572.768919
22.221679, 330.518596
38.445896, 8953.199162
38.554977, 5164.412055
39.557146, 3683.812605
37.287117, 7022.743224
15.157720, 2835.829963
22.846267, 5296.373559
35.975216, 10535.212135
12.091990, 820.373893
26.515622, 5804.510122
37.619840, 9902.033289
26.569926, 3014.129121
16.958975, 2226.739135
35.078976, 11635.681609
12.964341, 2650.467167
37.764677, 1310.525236
34.913311, 7294.277300
14.061242, 6662.959688
40.193718, 11891.454099
35.713225, 4928.738686
29.220363, 4476.767095
26.058606, 4874.651409
35.199774, 11117.184495
14.956906, 392.163876
34.213837, 8734.592008
37.864962, 6988.159940
25.854943, 1010.873580
32.033587, 11106.391253
16.970279, -1329.725217
40.089636, 2098.475579
36.398496, 8074.377041
24.435263, -1661.189886
15.249552, 4298.547238
15.469959, -3069.481269
32.513385, 6011.130365
33.668474, 548.157604
32.865760, 1443.172741
21.436980, -267.468161
28.460806, 3152.385924
17.323985, -386.934103
28.616922, 8839.276868
20.270353, 6904.917100
37.569933, 15249.286130
39.188832, 12896.813568
33.710283, 8193.557600
32.347877, 5374.741834
39.825768, 11589.773072
20.631163, 9790.310469
38.788250, 6197.254527
36.044550, 15143.193333
31.913684, 5188.187212
20.285260, 2694.874877
16.851505, 1895.571265
30.498549, 9234.003107
41.701307, 7910.897612
40.498429, 14914.929176
38.125503, 11288.217382
25.323721, 2456.777900
32.292393, 4844.895819
21.969382, -3359.771463
30.913519, 1336.073307
24.587607, 2456.791655
19.457679, 5878.205379
13.360559, -7284.221535
33.062489, 3223.829996
41.235350, 12938.318705
19.999153, 3358.359037
27.052475, 3953.737305
38.955205, 12355.608878
22.058989, -1878.674683
38.377076, 8087.553420
31.106253, -690.887003
22.227724, 2952.988752
21.468858, -137.460727
27.673648, 7820.677568
27.621752, 6247.283695
33.514539, 600.477502
31.551936, -753.699926
19.205152, 4789.831260
27.595527, 1113.733679
23.521167, -2576.935621
13.431775, -5520.876453
30.130209, 2507.741176
25.363134, -1051.414302
19.872335, 5449.871518
13.703297, 3038.194568
22.415656, 4981.251959
25.348850, 4411.147384
30.069191, 1153.624454
31.703499, 903.241394
40.526249, 11569.157338
32.874153, 4738.258571
24.413723, 3734.477463
40.709288, 13385.564697
12.286619, -2025.732532
32.088791, 13637.395410
25.297677, 3444.722626
34.639985, 6325.534499
12.222344, -3314.999649
35.973288, 9791.904962
17.728901, -1490.289430
14.932954, -2274.175763
26.610788, 1263.376877
25.704094, 5069.846931
19.884432, 1023.210060
33.262489, 5080.743915
41.197238, 14258.146742
13.422408, 6343.834423
15.403565, -2418.210556
38.466324, 11021.458727
41.216416, 6898.170998
15.965878, -3059.233707
21.333760, -1107.584820
27.480321, 3549.677577
19.897394, -3000.616359
39.571019, 6617.609628
33.542540, 6107.095788
19.362223, -4833.529807
27.920471, 1400.358159
25.116098, -651.170673
41.194479, 10524.258203
22.351980, 5384.862156
13.138608, 2183.341322
14.064696, -6607.920221
